Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
STRUCTURE,media/icons/STRUCTURES/Supply/Supply_ne.png,,,,Supply Depot,,<b>UNIT NAME</b>: Supply Depot</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-2.635789,-2.285156
STRUCTURE,media/icons/STRUCTURES/Radar/Radar_se.png,,,,Radar,,<b>UNIT NAME</b>: Radar</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,1.757537,5.537109
STRUCTURE,media/icons/STRUCTURES/Sensor Tower/Sensor_Tower_ne.png,,,,Sensor Tower,,<b>UNIT NAME</b>: Sensor Tower</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-53.120405,27.861328
STRUCTURE,media/icons/STRUCTURES/Radar/Radar_ne.png,,,,Radar,,<b>UNIT NAME</b>: Radar</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-34.741612,-77.783203
STRUCTURE,media/icons/STRUCTURES/MASH.png,,,,MASH,,<b>UNIT NAME</b>: MASH</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,14.51978,12.744141
STRUCTURE,media/icons/STRUCTURES/MASH.png,,,,MASH,,<b>UNIT NAME</b>: MASH</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,1.757537,20.214844
STRUCTURE,media/icons/STRUCTURES/Brawl/Brawl_sw.png,,,,Brawl,,<b>UNIT NAME</b>: Brawl</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-15.36895,-9.931641
STRUCTURE,media/icons/STRUCTURES/Brawl/Brawl_ne.png,,,,Brawl,,<b>UNIT NAME</b>: Brawl</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-19.394068,-2.285156
STRUCTURE,media/icons/STRUCTURES/Brawl/Brawl_sw.png,,,,Brawl,,<b>UNIT NAME</b>: Brawl</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,-15.36895,5.537109
STRUCTURE,media/icons/STRUCTURES/Brawl/Brawl_se.png,,,,Brawl,,<b>UNIT NAME</b>: Brawl</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,18.646245,35.332031
STRUCTURE,media/icons/STRUCTURES/Brawl/Brawl_s.png,,,,Brawl,,<b>UNIT NAME</b>: Brawl</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,30.448674,43.066406
STRUCTURE,media/icons/STRUCTURES/Rough Airfield.png,,,,Rough Airstrip,,<b>UNIT NAME</b>: Rough Airstrip</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,22.674847,43.066406
STRUCTURE,media/icons/STRUCTURES/Brawl/Brawl_se.png,,,,Brawl,,<b>UNIT NAME</b>: Brawl</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,22.674847,103.359375
STRUCTURE,#N/A,,,,Optics,,<b>UNIT NAME</b>: Optics</br><b>UNIT TYPE</b>: </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: </br><b>Limited Ammunitions</b>: </br><b>Abilities</b>: </br><b>Force Strength</b>: </br><b>Stealth </b>: No</br><b>Unit History</b>: </br>,,6.053161,-123.222656
Destroyer,media/icons/Armco Icons/Destroyer/Destroyer_ne_b.png,,,,Endurance,media/UNIT PHOTO/Endurance.png,"<b>UNIT NAME</b>: Endurance</br><b>UNIT TYPE</b>: Light Carrier</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Through-ship Interior hangar, Heavy Drop Pod Launch Bay, Massive Cargo Bay, External: VTOL Bay, Mech Bay</br><b>Limited Ammunitions</b>: None</br><b>Abilities</b>: Tac-Com</br><b>Force Strength</b>: Force Strength (5), Armor (1), Speed (3), Range (6)</br><b>Stealth </b>: No</br><b>Unit History</b>: Fought in the invasion of Haven. Coordinated units on the ground and in orbit.</br><b>Discord Username</b>: CaptainShack</br><br><a href=""https://discord.com/channels/222052888531173386/1218549669467258980/1218563733966815324""><h3>Unit Dossier</h3></a></br>",,-6.926427,-24.960937
Light Mech,media/icons/Armco Icons/LghMech/lgh_mech_n.png,,,,Titus,media/UNIT PHOTO/titus.jpg,"<b>UNIT NAME</b>: Titus</br><b>UNIT TYPE</b>: Light Mech</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Auto-Cannon Weapon System (AC)Its a Big Close Range Cannon</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: Can't reload there weapons without being at a supply point due to the scale
of the weapon systems. 
This mech comes with 1 weapon
Mechs can fire all weapons at once or 1 at a time.
Can Crouch to use lvl 1 terrain as cover from direct weapons if blocking LOS</br><b>Force Strength</b>: Force Strength( 3 ) Armor ( 1 ), Speed ( 4 ), Range ( 0 )</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>CaptainShack</b>: modern_samurai</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242025545315913902""><h3>Unit Dossier</h3></a></br>",,44.024422,-32.695313
Basic Infantry,media/icons/Armco Icons/inf/inf_ne_green.png,,,,Templar,media/UNIT PHOTO/TEMPLAR.jpg,"<b>UNIT NAME</b>: Templar</br><b>UNIT TYPE</b>: Infantry</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Primary Slot 1: Melee Weapons; Primary Slot 2: Heavy Machin Gun</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength: 5, Armor 0, Speed 1, Range 1</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>modern_samurai</b>: Kommando293(Trench Crusaders)</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241891534429753465""><h3>Unit Dossier</h3></a></br>",,34.089061,-24.960937
VTOL Heavy Transport,media/icons/Armco Icons/vtol/vtol_se_b.png,,,,Dropper,,"<b>UNIT NAME</b>: Dropper</br><b>UNIT TYPE</b>: VTOL Heavy Troop Transport</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Rappelling Ropes</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength (3), Armor (1), Speed (5), Range (1)</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Kommando293(Trench Crusaders)</b>: Sentinal [Sky Talons]</br><br><a href=""https://discord.com/channels/222052888531173386/1211452812865568811/1242907338789097594""><h3>Unit Dossier</h3></a></br>",,37.579413,-32.695313
Engineer,media/icons/Armco Icons/Eng/eng_se_g.png,,,,Path,media/UNIT PHOTO/PATH.png,"<b>UNIT NAME</b>: Path</br><b>UNIT TYPE</b>: Combat Engineers</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Back Line Support Equipment, Road Building Equipment</br><b>Limited Ammunitions</b>: Building Supply, 9/9</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength ( 3 ) Armor ( 0 ), Speed ( 1 ), Range ( 1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: Haven Campaign: Repaired South Sitka fortifications, Participated in Chapter Chatters Research Project, Developed ARMCO Propaganda

Lussan Campaign: Donated finances and personnel for intel gathering</br><b>Sentinal [Sky Talons]</b>: morpheus_the_3rd (PATHCorps eng)</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242076464556539986""><h3>Unit Dossier</h3></a></br>",,-31.052934,-70.224609
Basic Infantry,media/icons/Armco Icons/inf/inf_n_green.png,,,,32nd ODT,media/UNIT PHOTO/32nd ODT.webp,"<b>UNIT NAME</b>: 32nd ODT</br><b>UNIT TYPE</b>: Orbital Drop Troopers</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: orbital drop trooper training, Squad Assault Weapons, Flack vests, stinger AA missiles </br><b>Limited Ammunitions</b>: stingers 1/1 </br><b>Abilities</b>: entrench</br><b>Force Strength</b>: Force Strength ( 4 ) Armor ( 1 ), Speed ( 1 ), Range ( 1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: the 32nd heavy ODT dropped onto the beach of leftover soup right next to a scyther swarm to shield landing forces and held the line against scav swarms taking heavy casualties.</br><b>morpheus_the_3rd (PATHCorps eng)</b>: Yoger ( 32nd ODT)</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242146388750504109""><h3>Unit Dossier</h3></a></br>",,1.757537,-9.931641
Basic Infantry,media/icons/Armco Icons/inf/inf_s_green.png,,,,27th Womp Rats,media/UNIT PHOTO/27th Womp Rats.png,"<b>UNIT NAME</b>: 27th Womp Rats</br><b>UNIT TYPE</b>: Orbital Drop Troopers</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Orbital Drop Training, Squad Automatic Weapon, Sniper Rifles. </br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: Orbital Drop, Scope: reveal a hex at edge of LOS
Can support friendlys in a melee brawl! SAW: Any Extra Damage after first target is slain is applied to the next target in range. Only for Basic FS attack.</br><b>Force Strength</b>:  (4) Armor (0), Speed (1), Range (2), AP (0)</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Yoger ( 32nd ODT)</b>: Big Cheese</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241893407845257378""><h3>Unit Dossier</h3></a></br>",,-11.264612,-2.285156
Corvette,media/icons/Armco Icons/Corvette/cor_ne_b.png,,,,Spear of Freedom - Nightfall,media/UNIT PHOTO/Spear of Freedom.webp,"<b>UNIT NAME</b>: Spear of Freedom - Nightfall</br><b>UNIT TYPE</b>: Corvette</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Rail Cannon
Mobile Infantry Upgrade</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: Deploy all Infantry
Recover all Infantry</br><b>Force Strength</b>: Force Strength: (10) Armour: (2) Speed: (4) Range: (6) </br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Big Cheese</b>: ALX2079 (55th MAF)</br><br><a href=""https://discord.com/channels/222052888531173386/1218549669467258980/1238774125883949057""><h3>Unit Dossier</h3></a></br>",,-2.635789,-2.285156
Engineer,media/icons/Armco Icons/Eng/eng_se_g.png,,,,BEARDS,media/UNIT PHOTO/BEARDS CE.png,"<b>UNIT NAME</b>: BEARDS</br><b>UNIT TYPE</b>: Combat Engineer</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Road Building Equipment & Backline Support Equipment</br><b>Limited Ammunitions</b>: 9/9 Buildpoints</br><b>Abilities</b>: *Repair vehicles for 2FS per turn
*Build structures at 3 BP per turn</br><b>Force Strength</b>: Force Strength (3), Armor (0), Speed (1), Range (1)</br><b>Stealth </b>: No</br><b>Unit History</b>: *Participated in operation Rising Tide.
*Made New Osaka Airfield operational on H-Day.
*Put plasma fires out in New Osaka and made Harbor operational.</br><b>ALX2079 (55th MAF)</b>: Syntax Fehler (BEARDS)</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241893578876387400""><h3>Unit Dossier</h3></a></br>",,-2.635789,-2.285156
Basic Infantry,media/icons/Armco Icons/inf/inf_se_green.png,,,,Blue Thumpers (BTs),media/UNIT PHOTO/3rd Orion Royal Blue Thumpers BTs Drop Support Platoon.png,"<b>UNIT NAME</b>: Blue Thumpers (BTs)</br><b>UNIT TYPE</b>: Drop Support Platoon</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Orbital Drop Training, Mortar Squad</br><b>Limited Ammunitions</b>: Mortar (1/1)</br><b>Abilities</b>: </br><b>Force Strength</b>: Force Strength: (4) , Armor: (0), Speed: (1), Range: (1)</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Syntax Fehler (BEARDS)</b>: Rock B - Blue Thumpers</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242076846984658954""><h3>Unit Dossier</h3></a></br>",,-15.36895,-9.931641
Combat Medic,media/icons/Armco Icons/cmed/cmed_n_green.png,,,,Trauma Troupe,media/UNIT PHOTO/Trauma Troupe.png,"<b>UNIT NAME</b>: Trauma Troupe</br><b>UNIT TYPE</b>: Combat Medic</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: NA</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: First-aid, Deploy MASH</br><b>Force Strength</b>: Force Strength( 3 ) Armor ( 0 ), Speed ( 1 ), Range ( 1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Rock B - Blue Thumpers</b>: Maslak</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241889764261494875""><h3>Unit Dossier</h3></a></br>",,-11.264612,-2.285156
Heavy Air Transport,media/icons/Armco Icons/HAT/hat_se.png,,,,Union,media/UNIT PHOTO/union hat.png,"<b>UNIT NAME</b>: Union</br><b>UNIT TYPE</b>: Heavy Air Transport</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Parachute system</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength (3) armor (0) speed (7) range (0)</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Maslak</b>: minimastermind</br><br><a href=""https://discord.com/channels/222052888531173386/1211452812865568811/1242938894354223349""><h3>Unit Dossier</h3></a></br>",,-34.741612,-62.841797
Combat Medic,media/icons/Armco Icons/cmed/cmed_ne_green.png,,,,Wound Knitters,media/UNIT PHOTO/Wound Knitters.png,"<b>UNIT NAME</b>: Wound Knitters</br><b>UNIT TYPE</b>: Combat Medic</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: NA</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: First Aid - Setup/Dismantle M.A.S.H</br><b>Force Strength</b>: Force Strength: ( 3 ) Armor: ( 0 ) Speed: ( 1 ) Range: ( 1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>minimastermind</b>: Fiach</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241939570048634922""><h3>Unit Dossier</h3></a></br>",,-34.741612,-62.841797
Light Mech,media/icons/Armco Icons/LghMech/lgh_mech_s.png,,,,クラゲ (Kurage),media/UNIT PHOTO/Kurage.png,"<b>UNIT NAME</b>: クラゲ (Kurage)</br><b>UNIT TYPE</b>: Light Mech </br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Long Range Missile System (LRMS) Damage (3)・Ammo (3)・AP (0)・Range (5)</br><b>Limited Ammunitions</b>: LRMS・3/3</br><b>Abilities</b>: Mechs can fire all weapons at once or 1 at a time.
Can Crouch to use lvl 1 terrain as cover from direct weapons if blocking LOS.</br><b>Force Strength</b>: Force Strength ( 3 )・Armor ( 1 )・Speed ( 4 )・Range ( 0 )* </br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Fiach</b>: Kurage</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242527236020768788""><h3>Unit Dossier</h3></a></br>",,-23.563987,-70.224609
Basic Infantry,media/icons/Armco Icons/inf/inf_nw_green.png,,,,Guardians,media/UNIT PHOTO/Guardians of Armitage.jpg,"<b>UNIT NAME</b>: Guardians</br><b>UNIT TYPE</b>: Infantry</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Primary: Melee Weapons- standard, Upgrade: Flack Vests</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength: (5) Armor (1), Speed (1), Range (1)</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Kurage</b>: Commander Jack</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242905572718678016""><h3>Unit Dossier</h3></a></br>",,-15.36895,-100.546875
Fighter Squadron,media/icons/Armco Icons/fighter/fighter_sw.png,,,,ThunderBolt,media/UNIT PHOTO/The Thunder Dragons.webp,"<b>UNIT NAME</b>: ThunderBolt</br><b>UNIT TYPE</b>: Fighter Squadron</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: NA</br><b>Limited Ammunitions</b>: Base weapon 1/1</br><b>Abilities</b>: Anti-air patrol</br><b>Force Strength</b>: Force Strength ( 3 ) Armor ( 0 ), Speed (8 ), Range ( 1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: Asigned on OP Desert Surprise - Lussan</br><b>Commander Jack</b>: darthstoin (Stoin)</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241888972108464149""><h3>Unit Dossier</h3></a></br>",,37.579413,103.359375
Basic Infantry,media/icons/Armco Icons/inf/inf_s_green.png,,,,SCORPION Door Kickers,media/UNIT PHOTO/SCORPION Door Kickers.png,"<b>UNIT NAME</b>: SCORPION Door Kickers</br><b>UNIT TYPE</b>: Infantry</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Flack Vests, Shotguns</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: Sweep Weapons. When Assaulting buildings remove enemy armor gained from structure as your team sweeps and clears the building during an Assault of said building.</br><b>Force Strength</b>: Force Strength:5, Armor: 1, Speed:1, Range:1</br><b>Stealth </b>: No</br><b>Unit History</b>: They became a go to solution for every local government and law enforcement agency in need of a rapid and professional solution to a hostage situation or an organized crime problem.</br><b>darthstoin (Stoin)</b>: Cpt.James Cross</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242027943379734528""><h3>Unit Dossier</h3></a></br>",,-27.44979,-77.783203
Basic Infantry,media/icons/Armco Icons/inf/inf_n_green.png,,,,Warforged (1st Rifles of Regran),media/UNIT PHOTO/1st Rifles of Regran.jpg,"<b>UNIT NAME</b>: Warforged (1st Rifles of Regran)</br><b>UNIT TYPE</b>: Infantry</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Flack Vests, Squad Automatic Weapon</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength (5 ) Armor (1 ), Speed (1 ), Range (1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>Cpt.James Cross</b>: ConnBurger125</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241931660174299168""><h3>Unit Dossier</h3></a></br>",,-19.394068,-77.783203
Basic Infantry,media/icons/Armco Icons/inf/inf_s_green.png,,,,Barker’s Brawlers,media/UNIT PHOTO/Barker’s Brawlers.jpg,"<b>UNIT NAME</b>: Barker’s Brawlers</br><b>UNIT TYPE</b>: Infantry</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: Squad Automatic Weapon, Flak Vest</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength (5), Armor (1), Speed (1), Range (1)</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>ConnBurger125</b>: Sarge(BarkersBrawlers)</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241892203354394787""><h3>Unit Dossier</h3></a></br>",,-41.442726,-62.841797
Special Forces - Sapper,media/icons/Armco Icons/inf/inf_s_green.png,,,,OSEC,media/UNIT PHOTO/OSEC.jpg,"<b>UNIT NAME</b>: OSEC</br><b>UNIT TYPE</b>: Sappers</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: NA</br><b>Limited Ammunitions</b>: Building supplies 6/6, Mines 3/3</br><b>Abilities</b>: NA</br><b>Force Strength</b>: Force Strength( 2 ) Armor ( 0 ) Speed ( 1 ) Range ( 1 )</br><b>Stealth </b>: Yes</br><b>Unit History</b>: <b>REDACTED</b></br><b>Sarge(BarkersBrawlers)</b>: sunsetstrike</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1242019060229869608""><h3>Unit Dossier</h3></a></br>",,-38.203655,-70.224609
Irregular Infantry,media/icons/Armco Icons/inf/inf_s_green.png,,,,Exiles,media/UNIT PHOTO/Exiles.png,"<b>UNIT NAME</b>: Exiles</br><b>UNIT TYPE</b>: Irregular Infantry</br><b>ACTIVE</b>: Yes</br><b>Equipment or Unit Enhancement</b>: NA</br><b>Limited Ammunitions</b>: NA</br><b>Abilities</b>: 1/4 damage output rounded up</br><b>Force Strength</b>: Force Strength ( 10 ) Armor ( 0 ), Speed ( 1 ), Range ( 1 )</br><b>Stealth </b>: No</br><b>Unit History</b>: NA</br><b>sunsetstrike</b>: Major E. Furguson</br><br><a href=""https://discord.com/channels/222052888531173386/1241869032110428251/1241889717742604379""><h3>Unit Dossier</h3></a></br>",,-44.715514,-70.224609
